,file_name_list,audio_features,lexical_features
56,01_DR-100_0097_5_sentence_10_ns,../muse_features/muse_audio_features\01_DR-100_0097_5_sentence_10_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_5.npy
57,01_DR-100_0097_5_sentence_11_ns,../muse_features/muse_audio_features\01_DR-100_0097_5_sentence_11_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_5.npy
58,01_DR-100_0097_5_sentence_1_ns,../muse_features/muse_audio_features\01_DR-100_0097_5_sentence_1_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_5.npy
59,01_DR-100_0097_5_sentence_2_ns,../muse_features/muse_audio_features\01_DR-100_0097_5_sentence_2_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_5.npy
60,01_DR-100_0097_5_sentence_3_ns,../muse_features/muse_audio_features\01_DR-100_0097_5_sentence_3_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_5.npy
61,01_DR-100_0097_5_sentence_4_ns,../muse_features/muse_audio_features\01_DR-100_0097_5_sentence_4_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_5.npy
62,01_DR-100_0097_5_sentence_5_ns,../muse_features/muse_audio_features\01_DR-100_0097_5_sentence_5_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_5.npy
63,01_DR-100_0097_5_sentence_6_ns,../muse_features/muse_audio_features\01_DR-100_0097_5_sentence_6_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_5.npy
64,01_DR-100_0097_5_sentence_7_ns,../muse_features/muse_audio_features\01_DR-100_0097_5_sentence_7_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_5.npy
65,01_DR-100_0097_5_sentence_8_ns,../muse_features/muse_audio_features\01_DR-100_0097_5_sentence_8_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_5.npy
66,01_DR-100_0097_5_sentence_9_ns,../muse_features/muse_audio_features\01_DR-100_0097_5_sentence_9_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_5.npy
67,01_DR-100_0097_7_sentence_10_ns,../muse_features/muse_audio_features\01_DR-100_0097_7_sentence_10_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_7.npy
68,01_DR-100_0097_7_sentence_11_ns,../muse_features/muse_audio_features\01_DR-100_0097_7_sentence_11_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_7.npy
69,01_DR-100_0097_7_sentence_12_ns,../muse_features/muse_audio_features\01_DR-100_0097_7_sentence_12_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_7.npy
70,01_DR-100_0097_7_sentence_13_ns,../muse_features/muse_audio_features\01_DR-100_0097_7_sentence_13_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_7.npy
71,01_DR-100_0097_7_sentence_14_ns,../muse_features/muse_audio_features\01_DR-100_0097_7_sentence_14_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_7.npy
72,01_DR-100_0097_7_sentence_1_ns,../muse_features/muse_audio_features\01_DR-100_0097_7_sentence_1_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_7.npy
73,01_DR-100_0097_7_sentence_2_ns,../muse_features/muse_audio_features\01_DR-100_0097_7_sentence_2_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_7.npy
74,01_DR-100_0097_7_sentence_3_ns,../muse_features/muse_audio_features\01_DR-100_0097_7_sentence_3_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_7.npy
75,01_DR-100_0097_7_sentence_4_ns,../muse_features/muse_audio_features\01_DR-100_0097_7_sentence_4_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_7.npy
76,01_DR-100_0097_7_sentence_5_ns,../muse_features/muse_audio_features\01_DR-100_0097_7_sentence_5_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_7.npy
77,01_DR-100_0097_7_sentence_6_ns,../muse_features/muse_audio_features\01_DR-100_0097_7_sentence_6_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_7.npy
78,01_DR-100_0097_7_sentence_7_ns,../muse_features/muse_audio_features\01_DR-100_0097_7_sentence_7_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_7.npy
79,01_DR-100_0097_7_sentence_8_ns,../muse_features/muse_audio_features\01_DR-100_0097_7_sentence_8_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_7.npy
80,01_DR-100_0097_7_sentence_9_ns,../muse_features/muse_audio_features\01_DR-100_0097_7_sentence_9_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_7.npy
81,01_DR-100_0097_9_sentence_1_ns,../muse_features/muse_audio_features\01_DR-100_0097_9_sentence_1_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_9.npy
82,01_DR-100_0097_9_sentence_2_ns,../muse_features/muse_audio_features\01_DR-100_0097_9_sentence_2_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_9.npy
83,01_DR-100_0097_9_sentence_3_ns,../muse_features/muse_audio_features\01_DR-100_0097_9_sentence_3_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_9.npy
84,01_DR-100_0097_9_sentence_4_ns,../muse_features/muse_audio_features\01_DR-100_0097_9_sentence_4_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_9.npy
85,01_DR-100_0097_9_sentence_5_ns,../muse_features/muse_audio_features\01_DR-100_0097_9_sentence_5_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_9.npy
86,01_DR-100_0097_9_sentence_6_ns,../muse_features/muse_audio_features\01_DR-100_0097_9_sentence_6_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_9.npy
87,01_DR-100_0097_9_sentence_7_ns,../muse_features/muse_audio_features\01_DR-100_0097_9_sentence_7_ns.npy,../muse_features/muse_lexical_features\01_DR-100_0097_9.npy
88,02_DR-100_0070_1_sentence_1,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_1.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy
89,02_DR-100_0070_1_sentence_2,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_2.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy
90,02_DR-100_0070_1_sentence_3,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_3.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy
91,02_DR-100_0070_1_sentence_4,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_4.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy
92,02_DR-100_0070_1_sentence_5,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_5.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy
93,02_DR-100_0070_1_sentence_6,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_6.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy
94,02_DR-100_0070_1_sentence_7,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_7.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy
95,02_DR-100_0070_1_sentence_8,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_8.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy
96,02_DR-100_0070_1_sentence_9,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_9.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy
97,02_DR-100_0070_3_sentence_1,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_1.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy
98,02_DR-100_0070_3_sentence_10,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_10.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy
99,02_DR-100_0070_3_sentence_2,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_2.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy
100,02_DR-100_0070_3_sentence_3,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_3.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy
101,02_DR-100_0070_3_sentence_4,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_4.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy
102,02_DR-100_0070_3_sentence_5,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_5.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy
103,02_DR-100_0070_3_sentence_6,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_6.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy
104,02_DR-100_0070_3_sentence_7,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_7.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy
105,02_DR-100_0070_3_sentence_8,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_8.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy
106,02_DR-100_0070_3_sentence_9,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_9.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy
107,02_DR-100_0070_5_sentence_1,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_1.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy
108,02_DR-100_0070_5_sentence_10,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_10.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy
109,02_DR-100_0070_5_sentence_2,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_2.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy
110,02_DR-100_0070_5_sentence_3,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_3.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy
111,02_DR-100_0070_5_sentence_4,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_4.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy
112,02_DR-100_0070_5_sentence_5,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_5.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy
113,02_DR-100_0070_5_sentence_6,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_6.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy
114,02_DR-100_0070_5_sentence_7,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_7.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy
115,02_DR-100_0070_5_sentence_8,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_8.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy
116,02_DR-100_0070_5_sentence_9,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_9.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy
117,02_DR-100_0070_7_sentence_1,../muse_features/muse_audio_features\02_DR-100_0070_7_sentence_1.npy,../muse_features/muse_lexical_features\02_DR-100_0070_7.npy
118,02_DR-100_0070_7_sentence_10,../muse_features/muse_audio_features\02_DR-100_0070_7_sentence_10.npy,../muse_features/muse_lexical_features\02_DR-100_0070_7.npy
119,02_DR-100_0070_7_sentence_11,../muse_features/muse_audio_features\02_DR-100_0070_7_sentence_11.npy,../muse_features/muse_lexical_features\02_DR-100_0070_7.npy
120,02_DR-100_0070_7_sentence_2,../muse_features/muse_audio_features\02_DR-100_0070_7_sentence_2.npy,../muse_features/muse_lexical_features\02_DR-100_0070_7.npy
121,02_DR-100_0070_7_sentence_3,../muse_features/muse_audio_features\02_DR-100_0070_7_sentence_3.npy,../muse_features/muse_lexical_features\02_DR-100_0070_7.npy
122,02_DR-100_0070_7_sentence_4,../muse_features/muse_audio_features\02_DR-100_0070_7_sentence_4.npy,../muse_features/muse_lexical_features\02_DR-100_0070_7.npy
123,02_DR-100_0070_7_sentence_5,../muse_features/muse_audio_features\02_DR-100_0070_7_sentence_5.npy,../muse_features/muse_lexical_features\02_DR-100_0070_7.npy
124,02_DR-100_0070_7_sentence_6,../muse_features/muse_audio_features\02_DR-100_0070_7_sentence_6.npy,../muse_features/muse_lexical_features\02_DR-100_0070_7.npy
125,02_DR-100_0070_7_sentence_7,../muse_features/muse_audio_features\02_DR-100_0070_7_sentence_7.npy,../muse_features/muse_lexical_features\02_DR-100_0070_7.npy
126,02_DR-100_0070_7_sentence_8,../muse_features/muse_audio_features\02_DR-100_0070_7_sentence_8.npy,../muse_features/muse_lexical_features\02_DR-100_0070_7.npy
127,02_DR-100_0070_7_sentence_9,../muse_features/muse_audio_features\02_DR-100_0070_7_sentence_9.npy,../muse_features/muse_lexical_features\02_DR-100_0070_7.npy
128,02_DR-100_0070_9_sentence_1,../muse_features/muse_audio_features\02_DR-100_0070_9_sentence_1.npy,../muse_features/muse_lexical_features\02_DR-100_0070_9.npy
129,02_DR-100_0070_9_sentence_10,../muse_features/muse_audio_features\02_DR-100_0070_9_sentence_10.npy,../muse_features/muse_lexical_features\02_DR-100_0070_9.npy
130,02_DR-100_0070_9_sentence_2,../muse_features/muse_audio_features\02_DR-100_0070_9_sentence_2.npy,../muse_features/muse_lexical_features\02_DR-100_0070_9.npy
131,02_DR-100_0070_9_sentence_3,../muse_features/muse_audio_features\02_DR-100_0070_9_sentence_3.npy,../muse_features/muse_lexical_features\02_DR-100_0070_9.npy
132,02_DR-100_0070_9_sentence_4,../muse_features/muse_audio_features\02_DR-100_0070_9_sentence_4.npy,../muse_features/muse_lexical_features\02_DR-100_0070_9.npy
133,02_DR-100_0070_9_sentence_5,../muse_features/muse_audio_features\02_DR-100_0070_9_sentence_5.npy,../muse_features/muse_lexical_features\02_DR-100_0070_9.npy
134,02_DR-100_0070_9_sentence_6,../muse_features/muse_audio_features\02_DR-100_0070_9_sentence_6.npy,../muse_features/muse_lexical_features\02_DR-100_0070_9.npy
135,02_DR-100_0070_9_sentence_7,../muse_features/muse_audio_features\02_DR-100_0070_9_sentence_7.npy,../muse_features/muse_lexical_features\02_DR-100_0070_9.npy
136,02_DR-100_0070_9_sentence_8,../muse_features/muse_audio_features\02_DR-100_0070_9_sentence_8.npy,../muse_features/muse_lexical_features\02_DR-100_0070_9.npy
137,02_DR-100_0070_9_sentence_9,../muse_features/muse_audio_features\02_DR-100_0070_9_sentence_9.npy,../muse_features/muse_lexical_features\02_DR-100_0070_9.npy
138,02_DR-100_0092_1_sentence_10_ns,../muse_features/muse_audio_features\02_DR-100_0092_1_sentence_10_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_1.npy
139,02_DR-100_0092_1_sentence_1_ns,../muse_features/muse_audio_features\02_DR-100_0092_1_sentence_1_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_1.npy
140,02_DR-100_0092_1_sentence_2_ns,../muse_features/muse_audio_features\02_DR-100_0092_1_sentence_2_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_1.npy
141,02_DR-100_0092_1_sentence_3_ns,../muse_features/muse_audio_features\02_DR-100_0092_1_sentence_3_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_1.npy
142,02_DR-100_0092_1_sentence_4_ns,../muse_features/muse_audio_features\02_DR-100_0092_1_sentence_4_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_1.npy
143,02_DR-100_0092_1_sentence_5_ns,../muse_features/muse_audio_features\02_DR-100_0092_1_sentence_5_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_1.npy
144,02_DR-100_0092_1_sentence_6_ns,../muse_features/muse_audio_features\02_DR-100_0092_1_sentence_6_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_1.npy
145,02_DR-100_0092_1_sentence_7_ns,../muse_features/muse_audio_features\02_DR-100_0092_1_sentence_7_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_1.npy
146,02_DR-100_0092_1_sentence_8_ns,../muse_features/muse_audio_features\02_DR-100_0092_1_sentence_8_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_1.npy
147,02_DR-100_0092_1_sentence_9_ns,../muse_features/muse_audio_features\02_DR-100_0092_1_sentence_9_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_1.npy
148,02_DR-100_0092_3_sentence_10_ns,../muse_features/muse_audio_features\02_DR-100_0092_3_sentence_10_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_3.npy
149,02_DR-100_0092_3_sentence_11_ns,../muse_features/muse_audio_features\02_DR-100_0092_3_sentence_11_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_3.npy
150,02_DR-100_0092_3_sentence_12_ns,../muse_features/muse_audio_features\02_DR-100_0092_3_sentence_12_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_3.npy
151,02_DR-100_0092_3_sentence_13_ns,../muse_features/muse_audio_features\02_DR-100_0092_3_sentence_13_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_3.npy
152,02_DR-100_0092_3_sentence_14_ns,../muse_features/muse_audio_features\02_DR-100_0092_3_sentence_14_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_3.npy
153,02_DR-100_0092_3_sentence_1_ns,../muse_features/muse_audio_features\02_DR-100_0092_3_sentence_1_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_3.npy
154,02_DR-100_0092_3_sentence_2_ns,../muse_features/muse_audio_features\02_DR-100_0092_3_sentence_2_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_3.npy
155,02_DR-100_0092_3_sentence_3_ns,../muse_features/muse_audio_features\02_DR-100_0092_3_sentence_3_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_3.npy
156,02_DR-100_0092_3_sentence_4_ns,../muse_features/muse_audio_features\02_DR-100_0092_3_sentence_4_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_3.npy
157,02_DR-100_0092_3_sentence_5_ns,../muse_features/muse_audio_features\02_DR-100_0092_3_sentence_5_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_3.npy
158,02_DR-100_0092_3_sentence_6_ns,../muse_features/muse_audio_features\02_DR-100_0092_3_sentence_6_ns.npy,../muse_features/muse_lexical_features\02_DR-100_0092_3.npy
