file_name_list,audio_features,lexical_features,Activation_Mean,Activation_SD,Valence_Mean,Valence_SD,Activation_Annotation,Valence_Annotation,C_Activation_Mean,C_Activation_SD,C_Valence_Mean,C_Valence_SD,C_Activation_Annotation,C_Valence_Annotation,S_Activation,S_Valence
01_DR-100_0079_3_sentence_8,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_8.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,3,1.06904497,5.75,1.03509834,3;5;2;2;4;3;3;2,5;7;5;6;7;6;4;6,3.875,1.24642345,6.625,0.74402381,3;5;4;4;6;4;3;2,7;7;6;8;6;6;7;6,3,3
01_DR-100_0079_3_sentence_9,../muse_features/muse_audio_features\01_DR-100_0079_3_sentence_9.npy,../muse_features/muse_lexical_features\01_DR-100_0079_3.npy,3.77777778,1.48136574,5.55555556,1.01379376,2;2;5;3;6;5;3;5;3,6;6;6;6;7;4;5;4;6,3.625,1.40788595,5.75,1.28173989,2;5;4;4;5;5;2;2,7;4;7;7;5;4;6;6,3,3
01_DR-100_0079_5_sentence_1,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_1.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,3.875,2.10017006,5.25,0.70710678,2;1;6;2;4;7;4;5,6;5;5;6;5;6;5;4,3,0.9258201,5.5,1.30930734,3;4;3;4;2;4;2;2,8;4;6;4;6;5;6;5,5,4
01_DR-100_0079_5_sentence_2,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_2.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,3.5,1.92724822,5.875,0.64086994,5;6;6;2;3;1;3;2,6;6;5;7;6;5;6;6,3.5,1.19522861,5.25,0.70710678,4;4;3;5;2;5;2;3,5;4;5;6;5;6;6;5,5,4
01_DR-100_0079_5_sentence_3,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_3.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,3.33333333,1.22474487,4.22222222,1.39443338,2;3;4;2;4;3;5;2;5,6;4;3;6;6;3;3;4;3,3.375,1.59798981,4.625,1.30247018,5;4;3;5;1;5;2;2,6;4;4;4;4;3;7;5,5,4
01_DR-100_0079_5_sentence_4,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_4.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,3,1.06904497,5.75,0.88640526,2;2;5;3;2;4;3;3,6;6;6;4;6;7;6;5,3.375,1.30247018,5.375,0.74402381,4;4;3;5;1;4;2;4,5;4;6;5;6;6;6;5,5,4
01_DR-100_0079_5_sentence_5,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_5.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,3.5,1.41421356,5.625,1.30247018,3;4;1;6;4;3;3;4,7;6;5;4;5;5;8;5,3.375,1.06066017,6.25,1.38873015,4;4;3;5;2;4;2;3,9;4;6;6;6;6;7;6,5,4
01_DR-100_0079_5_sentence_6,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_6.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,3,1.41421356,5.375,1.18773494,3;6;1;3;3;2;3;3,7;4;5;7;4;6;5;5,3.25,1.38873015,3.875,1.45773797,3;4;3;6;2;4;2;2,1;3;4;4;4;4;6;5,5,4
01_DR-100_0079_5_sentence_7,../muse_features/muse_audio_features\01_DR-100_0079_5_sentence_7.npy,../muse_features/muse_lexical_features\01_DR-100_0079_5.npy,2.875,0.99103121,5.875,0.35355339,4;2;3;2;2;4;4;2,6;6;6;6;5;6;6;6,3.5,1.19522861,5.25,0.70710678,4;4;3;5;2;5;2;3,5;4;6;5;5;6;6;5,5,4
01_DR-100_0079_7_sentence_1,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_1.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,3,1.8516402,6.125,0.64086994,5;3;4;2;6;1;1;2,7;5;6;6;7;6;6;6,2.88888889,1.05409255,6.22222222,1.09290642,2;2;4;3;3;2;2;5;3,6;6;6;6;9;6;5;6;6,7,7
01_DR-100_0079_7_sentence_10,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_10.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,3.5,1.60356745,4.25,1.48804762,3;3;2;3;4;7;4;2,5;4;4;4;5;5;1;6,3,1.11803399,4.33333333,1.41421356,2;2;3;4;4;2;3;5;2,4;4;4;4;2;7;4;4;6,7,7
01_DR-100_0079_7_sentence_11,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_11.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,3.375,1.30247018,5.625,1.06066017,4;3;3;2;6;4;2;3,5;6;5;6;7;4;7;5,3.11111111,1.05409255,6.66666667,1.11803399,3;2;3;4;3;2;4;5;2,6;6;6;6;9;6;7;8;6,7,7
01_DR-100_0079_7_sentence_2,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_2.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,2.625,1.59798981,4.5,0.53452248,5;1;3;4;1;1;2;4,5;4;4;5;5;5;4;4,2.88888889,1.05409255,5,0.70710678,2;2;3;3;4;2;2;5;3,5;5;4;5;5;6;4;5;6,7,7
01_DR-100_0079_7_sentence_3,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_3.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,3,1.19522861,5.25,1.03509834,4;2;3;2;5;2;4;2,6;6;5;5;3;6;6;5,3.22222222,1.09290642,5.55555556,0.52704628,3;2;4;4;4;2;2;5;3,6;5;6;5;5;6;5;6;6,7,7
01_DR-100_0079_7_sentence_4,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_4.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,3.125,0.83452296,6.125,0.83452296,3;3;2;3;3;3;3;5,5;6;6;7;7;5;7;6,3.33333333,1.11803399,6.33333333,1.11803399,2;3;4;4;4;2;4;5;2,7;5;7;7;7;7;4;7;6,7,7
01_DR-100_0079_7_sentence_5,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_5.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,3.125,1.12599163,6.375,0.91612538,3;5;2;4;2;2;3;4,8;5;6;6;6;6;7;7,3.33333333,1.11803399,7.33333333,1.11803399,2;3;4;4;4;2;4;5;2,7;7;7;8;9;6;9;7;6,7,7
01_DR-100_0079_7_sentence_6,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_6.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,3.125,1.12599163,6.125,1.35620268,4;3;4;2;3;5;2;2,4;8;6;6;6;5;6;8,2.66666667,1,6.66666667,0.8660254,2;2;3;3;2;2;3;5;2,6;6;6;8;8;7;6;7;6,7,7
01_DR-100_0079_7_sentence_7,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_7.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,3.55555556,1.50923086,6.11111111,1.05409255,5;2;2;3;4;2;6;5;3,8;6;6;6;6;6;4;7;6,2.88888889,0.92796073,7,1,2;2;3;3;3;3;3;5;2,6;7;7;8;9;6;7;7;6,7,7
01_DR-100_0079_7_sentence_8,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_8.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,2.5,1.19522861,6,0.75592895,3;4;2;1;2;3;1;4,7;6;6;7;5;6;5;6,3.11111111,1.05409255,6.22222222,0.83333333,3;2;3;4;4;2;3;5;2,7;5;6;6;7;7;5;7;6,7,7
01_DR-100_0079_7_sentence_9,../muse_features/muse_audio_features\01_DR-100_0079_7_sentence_9.npy,../muse_features/muse_lexical_features\01_DR-100_0079_7.npy,2.875,1.7268882,5.375,0.74402381,1;4;2;4;6;1;2;3,5;6;6;5;4;6;6;5,3,1.11803399,6.77777778,0.66666667,2;2;3;4;4;2;3;5;2,6;6;7;7;8;7;7;7;6,7,7
02_DR-100_0070_1_sentence_1,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_1.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy,4,1.41421356,6.22222222,0.66666667,4;3;6;5;5;4;5;2;2,6;6;7;7;7;5;6;6;6,2.625,1.40788595,6.625,0.74402381,4;5;2;2;1;3;1;3,7;7;6;6;6;8;6;7,7,6
02_DR-100_0070_1_sentence_2,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_2.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy,2.25,0.70710678,5.5,0.75592895,2;3;2;2;3;1;2;3,6;6;6;4;6;6;5;5,2.625,1.59798981,6.25,0.46291005,5;5;2;2;1;2;1;3,6;7;6;6;6;7;6;6,7,6
02_DR-100_0070_1_sentence_3,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_3.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy,3.125,1.35620268,6,0.9258201,3;2;3;4;2;2;3;6,6;6;6;7;6;4;6;7,2.625,1.40788595,6.625,0.91612538,4;5;2;2;1;3;1;3,6;8;6;6;6;8;6;7,7,6
02_DR-100_0070_1_sentence_4,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_4.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy,3.375,1.30247018,6,0.75592895,3;6;4;2;3;3;2;4,7;6;5;6;6;7;5;6,2.625,1.59798981,6.875,1.12599163,5;5;2;2;1;2;1;3,6;9;6;6;7;8;6;7,7,6
02_DR-100_0070_1_sentence_5,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_5.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy,2.625,1.18773494,4.75,1.16496475,2;5;1;2;3;3;2;3,5;3;5;3;5;5;6;6,2.625,1.59798981,6,0.53452248,5;5;2;2;1;2;1;3,6;7;6;6;5;6;6;6,7,6
02_DR-100_0070_1_sentence_6,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_6.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy,2.375,0.91612538,6,0.53452248,2;1;3;2;3;2;2;4,5;6;6;6;6;6;6;7,2.25,1.38873015,6.5,1.06904497,3;5;2;2;1;1;1;3,6;9;6;6;6;7;6;6,7,6
02_DR-100_0070_1_sentence_7,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_7.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy,2.375,1.06066017,5.5,0.75592895,2;3;2;1;3;1;3;4,6;7;5;5;5;6;5;5,2.5,1.41421356,6.375,0.74402381,4;5;2;2;1;2;1;3,6;8;6;6;6;7;6;6,7,6
02_DR-100_0070_1_sentence_8,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_8.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy,4.125,1.64208056,6.875,1.12599163,7;2;4;4;4;5;2;5,5;6;7;7;8;8;6;8,3.125,1.35620268,7.125,0.99103121,5;5;3;3;1;3;2;3,7;9;7;6;7;8;6;7,7,6
02_DR-100_0070_1_sentence_9,../muse_features/muse_audio_features\02_DR-100_0070_1_sentence_9.npy,../muse_features/muse_lexical_features\02_DR-100_0070_1.npy,3.375,1.18773494,4.625,1.18773494,3;4;4;5;3;4;1;3,5;6;3;6;3;5;5;4,2.75,1.58113883,4.75,1.38873015,5;5;3;2;1;2;1;3,7;4;4;6;4;3;6;4,7,6
02_DR-100_0070_3_sentence_1,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_1.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy,2.875,1.45773797,5,1.30930734,2;5;2;5;1;3;3;2,2;6;6;5;5;5;6;5,2.875,1.7268882,5.5,1.06904497,2;1;4;2;6;1;3;4,5;5;5;8;5;5;5;6,8,6
02_DR-100_0070_3_sentence_10,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_10.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy,3,1.69030851,5.625,0.51754917,6;1;2;2;5;2;3;3,5;5;6;6;6;6;6;5,3,1.8516402,5.375,0.74402381,2;1;4;2;6;1;3;5,5;5;5;5;5;5;6;7,8,6
02_DR-100_0070_3_sentence_2,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_2.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy,1.875,1.35620268,4.625,1.50594062,5;1;2;2;2;1;1;1,3;5;6;6;6;4;5;2,3.25,1.83225076,4.75,1.75254916,2;1;4;3;6;1;4;5,4;5;5;1;5;5;6;7,8,6
02_DR-100_0070_3_sentence_3,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_3.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy,2.375,0.74402381,4.5,0.9258201,2;2;2;2;2;4;2;3,4;6;4;3;5;5;4;5,3,1.51185789,4.875,0.83452296,2;2;4;3;6;1;3;3,5;4;4;5;4;5;6;6,8,6
02_DR-100_0070_3_sentence_4,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_4.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy,2.875,1.24642345,5.5,1.30930734,3;5;3;4;1;2;2;3,7;6;5;5;5;7;6;3,2.875,1.64208056,5.625,0.91612538,2;1;4;3;5;1;2;5,7;6;5;5;5;5;5;7,8,6
02_DR-100_0070_3_sentence_5,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_5.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy,2.75,1.38873015,4.5,1.19522861,5;4;2;2;2;1;2;4,5;6;3;6;5;4;4;3,3.25,1.48804762,5,2.07019668,2;2;5;3;5;1;4;4,5;5;4;1;5;5;7;8,8,6
02_DR-100_0070_3_sentence_6,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_6.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy,2.5,1.19522861,5,0.75592895,3;2;3;2;5;2;1;2,5;4;5;5;6;4;6;5,2.375,1.18773494,5.25,0.70710678,2;1;4;2;4;1;2;3,5;5;5;5;5;5;5;7,8,6
02_DR-100_0070_3_sentence_7,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_7.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy,2.75,1.16496475,5.125,0.99103121,2;3;4;2;2;2;5;2,6;5;5;5;5;6;6;3,3,1.77281052,5.5,0.9258201,2;1;4;2;6;1;4;4,5;5;5;5;5;5;7;7,8,6
02_DR-100_0070_3_sentence_8,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_8.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy,3,1.8516402,6.25,0.70710678,1;3;2;2;4;7;3;2,6;6;7;7;6;5;6;7,3.375,1.92260983,6.75,1.03509834,2;1;5;3;6;1;4;5,7;6;7;8;6;5;8;7,8,6
02_DR-100_0070_3_sentence_9,../muse_features/muse_audio_features\02_DR-100_0070_3_sentence_9.npy,../muse_features/muse_lexical_features\02_DR-100_0070_3.npy,2.77777778,0.83333333,5.22222222,1.09290642,3;4;2;3;2;4;2;2;3,6;6;6;4;6;5;6;3;5,3.375,2.13390989,5.5,0.9258201,2;1;5;3;7;1;3;5,5;5;5;5;5;5;7;7,8,6
02_DR-100_0070_5_sentence_1,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_1.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy,2.875,0.99103121,6,1.30930734,4;2;3;2;2;4;4;2,6;6;5;6;5;6;5;9,2.625,1.30247018,6.25,0.88640526,4;5;2;2;3;2;1;2,5;7;7;5;6;6;7;7,8,7
02_DR-100_0070_5_sentence_10,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_10.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy,3.375,1.40788595,6,0.75592895,6;4;2;4;2;2;3;4,5;7;6;6;5;6;6;7,2.75,1.66904592,6.75,0.88640526,5;5;1;2;4;2;1;2,8;8;6;7;7;6;6;6,8,7
02_DR-100_0070_5_sentence_2,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_2.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy,2.75,0.70710678,5.875,0.64086994,3;2;3;2;4;2;3;3,7;6;5;6;6;5;6;6,2.75,1.58113883,6,0.9258201,5;5;1;3;3;2;1;2,6;8;5;6;5;6;6;6,8,7
02_DR-100_0070_5_sentence_3,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_3.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy,2.5,1.06904497,5.625,0.74402381,2;2;4;2;3;2;4;1,5;5;5;6;7;6;6;5,2.625,1.59798981,5.875,0.83452296,5;5;1;2;3;2;1;2,5;7;6;5;5;7;6;6,8,7
02_DR-100_0070_5_sentence_4,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_4.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy,2.75,0.88640526,5.125,0.35355339,4;2;2;2;3;4;2;3,5;6;5;5;5;5;5;5,2.5,1.69030851,5.375,0.74402381,5;5;1;2;3;2;1;1,5;6;5;5;5;7;5;5,8,7
02_DR-100_0070_5_sentence_5,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_5.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy,2.25,1.03509834,5.375,0.74402381,2;1;3;2;3;4;1;2,4;5;6;5;5;6;6;6,2.5,1.60356745,5.125,0.64086994,5;5;1;2;2;2;1;2,5;6;5;5;5;6;4;5,8,7
02_DR-100_0070_5_sentence_6,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_6.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy,3.25,1.66904592,6.375,1.06066017,2;2;3;7;3;4;2;3,6;7;6;7;7;7;7;4,2.625,1.59798981,6.5,1.69030851,5;5;1;2;2;2;1;3,8;9;6;6;6;8;4;5,8,7
02_DR-100_0070_5_sentence_7,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_7.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy,3.25,1.38873015,5.875,0.35355339,5;2;2;2;4;4;5;2,5;6;6;6;6;6;6;6,2.5,1.60356745,5.5,0.53452248,5;5;1;2;2;2;1;2,6;6;5;5;5;6;5;6,8,7
02_DR-100_0070_5_sentence_8,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_8.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy,3,1.69030851,4.5,1.06904497,3;2;7;2;3;2;3;2,4;5;3;6;5;5;5;3,3,1.51185789,5.625,1.06066017,5;5;2;3;4;2;1;2,7;6;4;5;6;7;5;5,8,7
02_DR-100_0070_5_sentence_9,../muse_features/muse_audio_features\02_DR-100_0070_5_sentence_9.npy,../muse_features/muse_lexical_features\02_DR-100_0070_5.npy,2.875,1.24642345,6.625,1.68501802,2;2;2;2;5;4;4;2,7;7;7;6;7;3;7;9,2.875,1.55264751,6.5,0.53452248,5;5;2;2;4;2;1;2,7;7;6;7;7;6;6;6,8,7
02_DR-100_0070_7_sentence_1,../muse_features/muse_audio_features\02_DR-100_0070_7_sentence_1.npy,../muse_features/muse_lexical_features\02_DR-100_0070_7.npy,2.375,1.06066017,5.875,0.99103121,3;2;1;3;1;2;4;3,5;5;6;5;5;7;7;7,3.25,1.66904592,5.625,0.91612538,2;4;3;2;1;3;6;5,6;5;5;7;5;5;5;7,7,5
02_DR-100_0070_7_sentence_10,../muse_features/muse_audio_features\02_DR-100_0070_7_sentence_10.npy,../muse_features/muse_lexical_features\02_DR-100_0070_7.npy,3.5,1.92724822,4.125,1.64208056,4;3;4;1;2;7;5;2,3;3;6;2;4;4;4;7,3.125,1.45773797,3.5,1.19522861,2;4;3;2;1;3;5;5,3;3;3;6;3;4;4;2,7,5
02_DR-100_0070_7_sentence_11,../muse_features/muse_audio_features\02_DR-100_0070_7_sentence_11.npy,../muse_features/muse_lexical_features\02_DR-100_0070_7.npy,3.25,1.16496475,2.875,1.45773797,3;3;5;5;3;3;2;2,6;2;3;4;2;2;2;2,3.25,1.58113883,4.375,1.50594062,2;5;3;2;1;3;5;5,3;6;6;6;4;4;4;2,7,5
